"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2022"
"030103a Sagene";"48 years";458
"030103a Sagene";"49 years";435
"030103a Sagene";"50 years";440
"030103a Sagene";"51 years";456
"030103a Sagene";"52 years";422
"030103a Sagene";"53 years";384
"030103a Sagene";"54 years";367
"030103a Sagene";"55 years";360
"030103a Sagene";"56 years";381
"030103a Sagene";"57 years";360
"030103a Sagene";"58 years";352
"030103a Sagene";"59 years";301
"030103a Sagene";"60 years";310
"030103a Sagene";"61 years";314
"030103a Sagene";"62 years";282
"030103a Sagene";"63 years";261
"030103a Sagene";"64 years";285
"030103a Sagene";"65 years";267
"030103a Sagene";"66 years";253
"030103a Sagene";"67 years";261
"030103a Sagene";"68 years";258
"030103a Sagene";"69 years";234
"030103a Sagene";"70 years";208
"030103a Sagene";"71 years";212
"030103a Sagene";"72 years";215
"030103a Sagene";"73 years";183
"030103a Sagene";"74 years";200
"030103a Sagene";"75 years";197
"030103a Sagene";"76 years";188
"030103a Sagene";"77 years";178
"030103a Sagene";"78 years";123
"030103a Sagene";"79 years";133
"030103a Sagene";"80 years";74
"030103a Sagene";"81 years";70
"030103a Sagene";"82 years";71
"030103a Sagene";"83 years";59
"030103a Sagene";"84 years";62
"030103a Sagene";"85 years";55
"030103a Sagene";"86 years";42
"030103a Sagene";"87 years";35
"030103a Sagene";"88 years";32
"030103a Sagene";"89 years";31
"030103a Sagene";"90 years";26
"030103a Sagene";"91 years";22
"030103a Sagene";"92 years";14
"030103a Sagene";"93 years";16
"030103a Sagene";"94 years";14
"030103a Sagene";"95 years";9
"030103a Sagene";"96 years";14
"030103a Sagene";"97 years";13
"030103a Sagene";"98 years";10
"030103a Sagene";"99 years";4
"030103a Sagene";"100 years";4
"030103a Sagene";"101 years";5
"030103a Sagene";"102 years";0
"030103a Sagene";"103 years";1
"030103a Sagene";"104 years";0
"030103a Sagene";"105 years or older";4
"030104a St. Hanshaugen";"0 years";474
"030104a St. Hanshaugen";"1 year";380
"030104a St. Hanshaugen";"2 years";345
"030104a St. Hanshaugen";"3 years";274
"030104a St. Hanshaugen";"4 years";261
"030104a St. Hanshaugen";"5 years";230
"030104a St. Hanshaugen";"6 years";214
"030104a St. Hanshaugen";"7 years";230
"030104a St. Hanshaugen";"8 years";239
"030104a St. Hanshaugen";"9 years";246
"030104a St. Hanshaugen";"10 years";207
"030104a St. Hanshaugen";"11 years";204
"030104a St. Hanshaugen";"12 years";206
"030104a St. Hanshaugen";"13 years";203
"030104a St. Hanshaugen";"14 years";209
"030104a St. Hanshaugen";"15 years";167
"030104a St. Hanshaugen";"16 years";195
"030104a St. Hanshaugen";"17 years";167
"030104a St. Hanshaugen";"18 years";201
"030104a St. Hanshaugen";"19 years";292
"030104a St. Hanshaugen";"20 years";515
"030104a St. Hanshaugen";"21 years";663
"030104a St. Hanshaugen";"22 years";912
"030104a St. Hanshaugen";"23 years";922
"030104a St. Hanshaugen";"24 years";1176
"030104a St. Hanshaugen";"25 years";1385
"030104a St. Hanshaugen";"26 years";1492
"030104a St. Hanshaugen";"27 years";1659
"030104a St. Hanshaugen";"28 years";1500
"030104a St. Hanshaugen";"29 years";1443
"030104a St. Hanshaugen";"30 years";1448
"030104a St. Hanshaugen";"31 years";1251
"030104a St. Hanshaugen";"32 years";1147
"030104a St. Hanshaugen";"33 years";1091
"030104a St. Hanshaugen";"34 years";951
"030104a St. Hanshaugen";"35 years";878
"030104a St. Hanshaugen";"36 years";785
"030104a St. Hanshaugen";"37 years";681
"030104a St. Hanshaugen";"38 years";620
"030104a St. Hanshaugen";"39 years";574
"030104a St. Hanshaugen";"40 years";589
"030104a St. Hanshaugen";"41 years";534
"030104a St. Hanshaugen";"42 years";498
"030104a St. Hanshaugen";"43 years";513
"030104a St. Hanshaugen";"44 years";436
"030104a St. Hanshaugen";"45 years";431
"030104a St. Hanshaugen";"46 years";438
"030104a St. Hanshaugen";"47 years";451
"030104a St. Hanshaugen";"48 years";429
