"region"	"age"	"Persons 2020"
"K-3006 Kongsberg"	"3 years"	286
"K-3006 Kongsberg"	"4 years"	279
"K-3006 Kongsberg"	"5 years"	291
"K-3006 Kongsberg"	"6 years"	299
"K-3006 Kongsberg"	"7 years"	334
"K-3006 Kongsberg"	"8 years"	321
"K-3006 Kongsberg"	"9 years"	351
"K-3006 Kongsberg"	"10 years"	376
"K-3006 Kongsberg"	"11 years"	364
"K-3006 Kongsberg"	"12 years"	385
"K-3006 Kongsberg"	"13 years"	352
"K-3006 Kongsberg"	"14 years"	316
"K-3006 Kongsberg"	"15 years"	313
"K-3006 Kongsberg"	"16 years"	323
"K-3006 Kongsberg"	"17 years"	314
"K-3006 Kongsberg"	"18 years"	304
"K-3006 Kongsberg"	"19 years"	333
"K-3006 Kongsberg"	"20 years"	314
"K-3006 Kongsberg"	"21 years"	316
"K-3006 Kongsberg"	"22 years"	315
"K-3006 Kongsberg"	"23 years"	359
"K-3006 Kongsberg"	"24 years"	297
"K-3006 Kongsberg"	"25 years"	360
"K-3006 Kongsberg"	"26 years"	300
"K-3006 Kongsberg"	"27 years"	346
"K-3006 Kongsberg"	"28 years"	354
"K-3006 Kongsberg"	"29 years"	369
"K-3006 Kongsberg"	"30 years"	357
"K-3006 Kongsberg"	"31 years"	326
"K-3006 Kongsberg"	"32 years"	374
"K-3006 Kongsberg"	"33 years"	329
"K-3006 Kongsberg"	"34 years"	372
"K-3006 Kongsberg"	"35 years"	333
"K-3006 Kongsberg"	"36 years"	379
"K-3006 Kongsberg"	"37 years"	369
"K-3006 Kongsberg"	"38 years"	368
"K-3006 Kongsberg"	"39 years"	359
"K-3006 Kongsberg"	"40 years"	362
"K-3006 Kongsberg"	"41 years"	382
"K-3006 Kongsberg"	"42 years"	371
"K-3006 Kongsberg"	"43 years"	399
"K-3006 Kongsberg"	"44 years"	395
"K-3006 Kongsberg"	"45 years"	398
"K-3006 Kongsberg"	"46 years"	387
"K-3006 Kongsberg"	"47 years"	401
"K-3006 Kongsberg"	"48 years"	422
"K-3006 Kongsberg"	"49 years"	376
"K-3006 Kongsberg"	"50 years"	396
"K-3006 Kongsberg"	"51 years"	372
"K-3006 Kongsberg"	"52 years"	403
"K-3006 Kongsberg"	"53 years"	406
"K-3006 Kongsberg"	"54 years"	377
"K-3006 Kongsberg"	"55 years"	380
"K-3006 Kongsberg"	"56 years"	335
"K-3006 Kongsberg"	"57 years"	368
"K-3006 Kongsberg"	"58 years"	353
"K-3006 Kongsberg"	"59 years"	356
"K-3006 Kongsberg"	"60 years"	298
"K-3006 Kongsberg"	"61 years"	328
"K-3006 Kongsberg"	"62 years"	305
"K-3006 Kongsberg"	"63 years"	318
"K-3006 Kongsberg"	"64 years"	329
"K-3006 Kongsberg"	"65 years"	326
"K-3006 Kongsberg"	"66 years"	305
"K-3006 Kongsberg"	"67 years"	316
"K-3006 Kongsberg"	"68 years"	275
"K-3006 Kongsberg"	"69 years"	316
"K-3006 Kongsberg"	"70 years"	323
"K-3006 Kongsberg"	"71 years"	305
"K-3006 Kongsberg"	"72 years"	294
"K-3006 Kongsberg"	"73 years"	319
"K-3006 Kongsberg"	"74 years"	275
"K-3006 Kongsberg"	"75 years"	263
"K-3006 Kongsberg"	"76 years"	228
"K-3006 Kongsberg"	"77 years"	184
"K-3006 Kongsberg"	"78 years"	150
"K-3006 Kongsberg"	"79 years"	145
"K-3006 Kongsberg"	"80 years"	170
"K-3006 Kongsberg"	"81 years"	148
"K-3006 Kongsberg"	"82 years"	120
"K-3006 Kongsberg"	"83 years"	119
"K-3006 Kongsberg"	"84 years"	94
"K-3006 Kongsberg"	"85 years"	99
"K-3006 Kongsberg"	"86 years"	98
"K-3006 Kongsberg"	"87 years"	78
"K-3006 Kongsberg"	"88 years"	86
"K-3006 Kongsberg"	"89 years"	56
"K-3006 Kongsberg"	"90 years"	45
"K-3006 Kongsberg"	"91 years"	48
"K-3006 Kongsberg"	"92 years"	33
"K-3006 Kongsberg"	"93 years"	33
"K-3006 Kongsberg"	"94 years"	23
"K-3006 Kongsberg"	"95 years"	22
"K-3006 Kongsberg"	"96 years"	7
"K-3006 Kongsberg"	"97 years"	8
"K-3006 Kongsberg"	"98 years"	4
"K-3006 Kongsberg"	"99 years"	3
"K-3006 Kongsberg"	"100 years"	3
"K-3006 Kongsberg"	"101 years"	1
"K-3006 Kongsberg"	"102 years"	1
"K-3006 Kongsberg"	"103 years"	1
"K-3006 Kongsberg"	"104 years"	0
"K-3006 Kongsberg"	"105 years or older"	0
"K-3007 Ringerike"	"0 years"	270
"K-3007 Ringerike"	"1 year"	268
"K-3007 Ringerike"	"2 years"	272
"K-3007 Ringerike"	"3 years"	262
"K-3007 Ringerike"	"4 years"	291
"K-3007 Ringerike"	"5 years"	325
"K-3007 Ringerike"	"6 years"	318
"K-3007 Ringerike"	"7 years"	307
"K-3007 Ringerike"	"8 years"	353
"K-3007 Ringerike"	"9 years"	362
"K-3007 Ringerike"	"10 years"	361
"K-3007 Ringerike"	"11 years"	336
"K-3007 Ringerike"	"12 years"	332
"K-3007 Ringerike"	"13 years"	322
"K-3007 Ringerike"	"14 years"	354
"K-3007 Ringerike"	"15 years"	376
"K-3007 Ringerike"	"16 years"	322
"K-3007 Ringerike"	"17 years"	337
"K-3007 Ringerike"	"18 years"	332
"K-3007 Ringerike"	"19 years"	365
