"10826: Population, by region, age, contents and year"

"region";"age";"Persons 2021"
"030105a Frogner";"93 years";45
"030105a Frogner";"94 years";33
"030105a Frogner";"95 years";35
"030105a Frogner";"96 years";34
"030105a Frogner";"97 years";21
"030105a Frogner";"98 years";12
"030105a Frogner";"99 years";10
"030105a Frogner";"100 years";9
"030105a Frogner";"101 years";5
"030105a Frogner";"102 years";2
"030105a Frogner";"103 years";1
"030105a Frogner";"104 years";6
"030105a Frogner";"105 years or older";8
"030106a Ullern";"0 years";432
"030106a Ullern";"1 year";411
"030106a Ullern";"2 years";414
"030106a Ullern";"3 years";375
"030106a Ullern";"4 years";417
"030106a Ullern";"5 years";407
"030106a Ullern";"6 years";428
"030106a Ullern";"7 years";372
"030106a Ullern";"8 years";415
"030106a Ullern";"9 years";417
"030106a Ullern";"10 years";416
"030106a Ullern";"11 years";452
"030106a Ullern";"12 years";389
"030106a Ullern";"13 years";431
"030106a Ullern";"14 years";419
"030106a Ullern";"15 years";413
"030106a Ullern";"16 years";348
"030106a Ullern";"17 years";358
"030106a Ullern";"18 years";357
"030106a Ullern";"19 years";347
"030106a Ullern";"20 years";306
"030106a Ullern";"21 years";262
"030106a Ullern";"22 years";268
"030106a Ullern";"23 years";324
"030106a Ullern";"24 years";350
"030106a Ullern";"25 years";413
"030106a Ullern";"26 years";376
"030106a Ullern";"27 years";415
"030106a Ullern";"28 years";473
"030106a Ullern";"29 years";477
"030106a Ullern";"30 years";506
"030106a Ullern";"31 years";512
"030106a Ullern";"32 years";526
"030106a Ullern";"33 years";516
"030106a Ullern";"34 years";513
"030106a Ullern";"35 years";501
"030106a Ullern";"36 years";514
"030106a Ullern";"37 years";505
"030106a Ullern";"38 years";511
"030106a Ullern";"39 years";511
"030106a Ullern";"40 years";510
"030106a Ullern";"41 years";504
"030106a Ullern";"42 years";495
"030106a Ullern";"43 years";434
"030106a Ullern";"44 years";461
"030106a Ullern";"45 years";533
"030106a Ullern";"46 years";503
"030106a Ullern";"47 years";462
"030106a Ullern";"48 years";500
"030106a Ullern";"49 years";470
"030106a Ullern";"50 years";443
"030106a Ullern";"51 years";447
"030106a Ullern";"52 years";438
"030106a Ullern";"53 years";438
"030106a Ullern";"54 years";422
"030106a Ullern";"55 years";436
"030106a Ullern";"56 years";460
"030106a Ullern";"57 years";417
"030106a Ullern";"58 years";386
"030106a Ullern";"59 years";386
"030106a Ullern";"60 years";410
"030106a Ullern";"61 years";398
"030106a Ullern";"62 years";403
"030106a Ullern";"63 years";367
"030106a Ullern";"64 years";380
"030106a Ullern";"65 years";377
"030106a Ullern";"66 years";340
"030106a Ullern";"67 years";369
"030106a Ullern";"68 years";359
"030106a Ullern";"69 years";389
"030106a Ullern";"70 years";334
"030106a Ullern";"71 years";339
"030106a Ullern";"72 years";379
"030106a Ullern";"73 years";372
"030106a Ullern";"74 years";442
"030106a Ullern";"75 years";373
"030106a Ullern";"76 years";375
"030106a Ullern";"77 years";319
"030106a Ullern";"78 years";232
"030106a Ullern";"79 years";200
"030106a Ullern";"80 years";199
"030106a Ullern";"81 years";222
"030106a Ullern";"82 years";181
"030106a Ullern";"83 years";120
"030106a Ullern";"84 years";142
"030106a Ullern";"85 years";114
"030106a Ullern";"86 years";108
"030106a Ullern";"87 years";97
"030106a Ullern";"88 years";111
"030106a Ullern";"89 years";64
"030106a Ullern";"90 years";79
"030106a Ullern";"91 years";74
"030106a Ullern";"92 years";68
"030106a Ullern";"93 years";47
"030106a Ullern";"94 years";47
"030106a Ullern";"95 years";38
"030106a Ullern";"96 years";28
"030106a Ullern";"97 years";18
"030106a Ullern";"98 years";10
"030106a Ullern";"99 years";6
"030106a Ullern";"100 years";11
"030106a Ullern";"101 years";5
"030106a Ullern";"102 years";0
"030106a Ullern";"103 years";2
"030106a Ullern";"104 years";2
"030106a Ullern";"105 years or older";2
"030107a Vestre Aker";"0 years";628
"030107a Vestre Aker";"1 year";687
"030107a Vestre Aker";"2 years";657
"030107a Vestre Aker";"3 years";710
"030107a Vestre Aker";"4 years";668
"030107a Vestre Aker";"5 years";696
"030107a Vestre Aker";"6 years";701
"030107a Vestre Aker";"7 years";684
"030107a Vestre Aker";"8 years";709
"030107a Vestre Aker";"9 years";670
"030107a Vestre Aker";"10 years";666
"030107a Vestre Aker";"11 years";700
"030107a Vestre Aker";"12 years";712
"030107a Vestre Aker";"13 years";705
"030107a Vestre Aker";"14 years";650
